title,description,domain,tags,prizeAmount,nonMonetaryRewards,deadline,benefits,difficulty,website,organizer,timeCommitment,teamRequirement,targetAudience
Hult Prize 2025,"The world's largest student competition for social entrepreneurship. Students compete to solve pressing global issues with scalable business ideas, with winning team receiving $1M USD in seed funding. The 2025 challenge theme is 'UNLIMITED' - any idea for a social enterprise aligned with UN SDGs.",Social Entrepreneurship,"['social impact', 'entrepreneurship', 'students', 'global challenges', 'SDGs']",1000000,"['Access to Clinton Global Initiative', 'Mentorship from global leaders', 'UN platform access', 'Global startup accelerator program', 'Media coverage and international recognition']",9/30/25,"['$1M Prize', 'Mentorship', 'Global Network', 'Accelerator Access']",High,https://www.hultprize.org/,Hult Prize Foundation,6-12 months,team,University students (undergraduate and graduate) aged 18+ forming teams of 2-4 members
Youth Co:Lab National Innovation Challenge 2025,"UNDP and AIM's annual challenge empowering young entrepreneurs to develop innovative solutions enhancing access and well-being for Persons with Disabilities. Focus on assistive technology, educational technology, and inclusive care models with seed grants for winners.",Social Innovation,"['disability inclusion', 'assistive technology', 'social impact', 'youth entrepreneurship', 'UNDP']",100000,[],6/30/25,"['Seed Grants', 'Mentorship', 'UNDP Network', 'Regional Summit']",Medium,https://www.youthcolab.org/,"UNDP, AIM NITI Aayog, Citi Foundation",6 months,team,"Youth entrepreneurs aged 18-32 working on disability-inclusive solutions, including entrepreneurs with disabilities"
Youth Ideathon 2025 (College),"India's premier innovation and entrepreneurship competition for college students. Joint initiative by IIT Delhi, MEPSC, and ThinkStartup focusing on innovative ideas across 10 key sectors including technology, medicine, education, and social impact.",Innovation,"['innovation', 'entrepreneurship', 'students', 'india', 'technology']",300000,[],4/13/25,"['Prize Money', 'Mentorship', 'Industry Exposure', 'Incubation Support']",Medium,https://youthideathon.in/,"IIT Delhi, MEPSC, ThinkStartup",2-3 months,team,College students from Indian universities pursuing undergraduate or postgraduate programs in teams of 3-5 members
Startup Grind Global Pitch Battle 2025,"World's top emerging startups compete for global recognition in this multi-stage competition. Features local chapter battles, virtual semi-finals, and global finals with prizes including exhibition packages at Startup Grind Conference in Silicon Valley.",Startup Competition,"['startups', 'pitch competition', 'global', 'networking', 'silicon valley']",4999,"['Silicon Valley Conference tickets', 'Premium exhibition space at Startup Grind Conference', 'Main stage pitch opportunity', 'Access to global investor network', 'Startup Grind global community membership']",1/10/25,"['Conference Tickets', 'Exhibition Package', 'Global Exposure', 'Networking']",High,https://about.startupgrind.com/january-2025-global-pitch-battle/,Startup Grind,1-2 months,any,Tech-driven startups with scalable business models and MVP or live product
Empresario 2025 Global Business Model Competition,"IIT Kharagpur's annual business model competition featuring multiple tracks including Products & Services, Social Impact, Web 3.0, and IIT KGP exclusive tracks. Provides mentorship from seasoned entrepreneurs and opportunities to pitch to VCs and investors.",Business Model,"['business model', 'entrepreneurship', 'IIT', 'mentorship', 'VC pitch']",1200000,[],11/15/25,"['Prize Money', 'VC Pitch', 'Mentorship', 'Industry Connections']",High,https://www.ecell-iitkgp.org/empresario/,"Entrepreneurship Cell, IIT Kharagpur",3-6 months,team,Students and early-stage entrepreneurs with innovative business models across various sectors
Supernova Challenge 2.0,"World's largest early-stage startup pitch competition held at Expand North Star Dubai. Features virtual qualifiers, semi-finals, and finals with equity-free prize pool. Participants must be exhibiting startups at GITEX events.",Startup Pitch,"['early-stage', 'pitch competition', 'equity-free', 'dubai', 'GITEX']",200000,[],10/1/25,"['Equity-free Prize', 'Investor Access', 'Global Exposure', 'Pitch Coaching']",High,https://giteximpact.com/supernovachallengepitchcompetition/,"Dubai World Trade Centre, Dubai Chamber",6 months,team,"Early-stage startups exhibiting at Expand North Star, Fintech Surge, or GITEX Impact events"
Foodtech Frontier Challenge 2025,"Global innovation challenge bringing together startups and food industry players to develop breakthrough solutions in ingredients, processing, and sustainability. Focus on taste, texture, nutrition, and sustainability innovations for the future of food.",Food Technology,"['foodtech', 'sustainability', 'innovation', 'processing', 'ingredients']",450000,[],6/30/25,"['Paid Pilots', 'POC Grants', 'Industry Partnerships', 'Global Exposure']",High,https://foodtech.innovation-challenge.sg/,Enterprise Singapore,6-12 months,any,Foodtech startups and SMEs worldwide looking to collaborate with food industry leaders
Vibrant Gujarat Startup & Tech Summit,"Biennial startup and technology summit focused on innovation across multiple sectors. Part of the larger Vibrant Gujarat Global Summit, featuring startup competitions, investor meetings, and technology showcases with emphasis on Gujarat's innovation ecosystem.",Technology,"['startup', 'technology', 'innovation', 'investment', 'gujarat']",3000000,[],1/12/25,"['Investment Opportunities', 'Networking', 'Government Support', 'Market Access']",Medium,https://www.vibrantgujarat.com/,Government of Gujarat,3-6 months,any,"Startups, entrepreneurs, and technology companies looking for investment and partnerships in Gujarat"
Samsung Solve for Tomorrow,"Global competition encouraging students to solve real-world problems through STEAM (Science, Technology, Engineering, Arts, Mathematics) education and innovation. Focus on addressing pressing social issues through technology solutions.",STEAM Education,"['STEAM', 'education', 'technology', 'social impact', 'students']",100000,[],,"['Prize Money', 'Technology Access', 'Mentorship', 'Educational Resources']",Medium,https://www.samsung.com/us/solvefortomorrow/,Samsung,3-6 months,team,Students and educators focused on STEAM learning and social impact solutions
TIE Young Entrepreneurship Program,"Global program by TiE (The Indus Entrepreneurs) designed to nurture young entrepreneurial talent. Provides mentorship, funding opportunities, and network access to help young entrepreneurs build successful ventures.",Entrepreneurship,"['entrepreneurship', 'mentorship', 'young entrepreneurs', 'funding', 'networking']",0,[],,"['Mentorship', 'Funding Access', 'Global Network', 'Business Development']",Medium,https://tie.org/programs/tyeglobalprogram/,TiE (The Indus Entrepreneurs),6-12 months,any,Young entrepreneurs and startup founders looking for mentorship and network access
Seedstars World Competition,"Global startup competition for emerging markets. Identifies and supports early-stage startups from emerging markets through local events, culminating in a global summit where startups compete for investment.",Startups,"['emerging markets', 'startups', 'investment', 'global', 'early-stage']",500000,[],,"['Investment', 'Global Exposure', 'Mentorship', 'Market Access']",High,https://www.seedstarsworld.com/,Seedstars,6-12 months,team,Early-stage startups from emerging markets with scalable business models
Asia Pacific Entrepreneurship Awards (APEA),Prestigious regional awards recognizing outstanding entrepreneurial achievements across Asia Pacific. Celebrates successful entrepreneurs and their contributions to economic development and innovation in the region.,Entrepreneurship,"['entrepreneurship', 'awards', 'asia pacific', 'recognition', 'business excellence']",0,[],,"['Recognition', 'Networking', 'Media Coverage', 'Business Opportunities']",High,https://apea.asia/india/,Asia Pacific Entrepreneurship Awards,3-6 months,any,Established entrepreneurs and business leaders in Asia Pacific region
India Sustainability Startathon,Innovation challenge focused on sustainability solutions for India. Encourages startups to develop scalable solutions addressing environmental and social challenges while building sustainable business models. Winners get fully-funded trip to Singapore.,Sustainability,"['sustainability', 'environment', 'social impact', 'india', 'startups']",0,"['Fully-funded trip to Singapore for ASEAN-China-India Youth Leadership Summit', '6-day international summit participation', 'Cross-cultural leadership experience', 'Global networking with 5000+ young leaders']",,"['Singapore Trip', 'International Summit', 'Global Network', 'Leadership Development']",Medium,https://thefuturefounders.co/iss2025,The Future Founders,3-6 months,team,Startups and entrepreneurs working on sustainability solutions for Indian market
Unilever Young Entrepreneurs Awards,Global awards program recognizing young entrepreneurs who are creating positive social impact through their business ventures. Part of One Young World summit focusing on sustainable business practices.,Social Entrepreneurship,"['social impact', 'young entrepreneurs', 'sustainability', 'business', 'global']",50000,[],,"['Prize Money', 'Mentorship', 'Global Platform', 'Unilever Partnership']",High,https://www.oneyoungworld.com/unileveryoungentrepreneursawards,Unilever & One Young World,6-12 months,any,Young entrepreneurs (18-30) creating positive social and environmental impact through business
Startup India Seed Fund Scheme,"Government of India initiative providing seed funding to startups for proof of concept, prototype development, product trials, market entry and commercialization. Aims to support early-stage startups with funding and mentorship.",Government Funding,"['government funding', 'seed funding', 'india', 'startups', 'early-stage']",2000000,[],,"['Seed Funding', 'Government Support', 'Mentorship', 'Market Access']",Medium,https://seedfund.startupindia.gov.in,Government of India,12-18 months,team,Early-stage Indian startups seeking seed funding for product development and market entry
Global Entrepreneurship Olympiad (GEO),International competition for student entrepreneurs to showcase innovative business ideas and compete on a global platform. Multi-stage competition culminating in international finals with focus on entrepreneurial education.,Student Entrepreneurship,"['student entrepreneurship', 'global competition', 'innovation', 'business ideas', 'education']",25000,[],,"['Prize Money', 'Global Recognition', 'Networking', 'Entrepreneurial Education']",Medium,https://geolympiad.org/student-registration/,Global Entrepreneurship Olympiad,3-6 months,team,Students and young entrepreneurs looking to compete on global entrepreneurship platform
Echelon Asia Summit TOP100 Startups,"Premier startup competition in Asia featuring the region's most promising startups. Multi-stage selection process identifying top 100 startups across Asia-Pacific, providing exposure to investors and industry leaders.",Startup Competition,"['asia pacific', 'startups', 'investment', 'regional summit', 'top 100']",0,[],,"['Regional Exposure', 'Investor Access', 'Media Coverage', 'Networking']",High,https://e27.co/top100/,e27,3-6 months,team,Promising startups across Asia-Pacific region seeking regional recognition and investment
Entrepreneur First Demo Day (Singapore),Startup accelerator program culminating in demo day where teams pitch to investors. EF helps individuals without startup ideas or co-founders to build technology companies from scratch through their unique model.,Accelerator,"['accelerator', 'demo day', 'singapore', 'technology', 'co-founder matching']",0,[],,"['Accelerator Program', 'Investment', 'Co-founder Matching', 'Mentorship']",High,https://www.joinef.com/,Entrepreneur First,6 months,any,Ambitious individuals and early-stage technology entrepreneurs in Singapore
Singapore Fintech Festival Fintech Awards 2024,"Annual awards recognizing excellence in fintech innovation across various categories. Part of the world's largest fintech festival, celebrating groundbreaking fintech solutions and industry achievements.",Fintech,"['fintech', 'awards', 'singapore', 'innovation', 'financial technology']",0,[],,"['Industry Recognition', 'Networking', 'Media Coverage', 'Business Opportunities']",High,https://www.fintechfestival.sg/sfffintechexcellenceawards,Monetary Authority of Singapore,3 months,any,Fintech companies and innovators demonstrating excellence in financial technology solutions
LES Business Plan Competition,International business plan competition organized by Licensing Executives Society focusing on intellectual property commercialization and technology transfer. Encourages innovative approaches to IP licensing and technology commercialization.,IP Commercialization,"['intellectual property', 'licensing', 'technology transfer', 'business plan', 'international']",10000,[],,"['Prize Money', 'IP Expertise', 'Industry Network', 'Mentorship']",Medium,https://lesi.org/les-foundation-international-business-plan-competition-members-choice-award/,Licensing Executives Society International,6 months,team,Students and entrepreneurs focused on intellectual property commercialization and licensing
Energy Innovation for AI Tech Challenge,Challenge focused on innovative energy solutions for AI technologies. Seeks breakthrough solutions addressing the growing energy demands of artificial intelligence infrastructure and computing systems.,Energy Tech,"['energy innovation', 'AI', 'technology', 'sustainability', 'computing']",0,[],,"['Industry Connections', 'Technical Validation', 'Investment Opportunities', 'Partnership']",High,https://extremetechchallenge.org/ai-energy-innovation-summit-2025/,Extreme Tech Challenge,6 months,team,Startups and researchers developing energy solutions for AI and computing infrastructure
Cyber Startup Challenge 2025,Competition focused on cybersecurity startups and innovations. Seeks innovative solutions to address growing cybersecurity challenges and threats in digital transformation era.,Cybersecurity,"['cybersecurity', 'startups', 'digital security', 'innovation', 'technology']",0,[],,"['Industry Connections', 'Mentorship', 'Market Validation', 'Investment Opportunities']",High,,,3-6 months,team,Cybersecurity startups and entrepreneurs developing innovative security solutions
Conquest by BITS Pilani,"Annual entrepreneurship and innovation fest organized by BITS Pilani. Features startup competitions, business plan contests, and entrepreneurship challenges for students and early-stage entrepreneurs.",Student Innovation,"['student competition', 'innovation', 'entrepreneurship', 'BITS Pilani', 'business plan']",0,[],,"['Prize Money', 'Mentorship', 'Industry Exposure', 'Networking']",Medium,https://www.linkedin.com/company/conquestbits/,BITS Pilani,2-3 months,team,Students and young entrepreneurs participating in innovation and business plan competitions
High School Startup League,Competition designed for high school students to learn entrepreneurship and build startup ventures. Provides early exposure to entrepreneurial thinking and business development for young minds.,Student Entrepreneurship,"['high school', 'students', 'entrepreneurship', 'startups', 'youth education']",0,[],,"['Entrepreneurial Education', 'Mentorship', 'Early Exposure', 'Skill Development']",Low,https://mastersunion.org/innovation-student-startups,Masters Union,3-6 months,team,High school students interested in learning entrepreneurship and startup development
Innopreneurs Junior Idea Olympiad 2024,Innovation competition for young entrepreneurs and students to showcase creative business ideas. Focus on nurturing entrepreneurial mindset among youth through idea development and presentation.,Youth Innovation,"['youth entrepreneurship', 'innovation', 'idea competition', 'students', 'creativity']",0,[],,"['Recognition', 'Mentorship', 'Skill Development', 'Networking']",Low,https://www.innopreneurs.in/startup-contest,Innopreneurs,2-3 months,team,Young students and aspiring entrepreneurs looking to develop and present innovative ideas
Titan Design for Impact,Innovation challenge focused on design-driven solutions for social and environmental impact. Seeks creative design solutions that address sustainability challenges and create positive social change.,Design Innovation,"['design', 'social impact', 'sustainability', 'innovation', 'environmental']",0,[],,"['Industry Recognition', 'Sustainability Focus', 'Design Mentorship', 'Impact Platform']",Medium,https://www.titancompany.in/sustainability/designimpactmovement,Titan Company,3-6 months,any,Designers and innovators creating solutions for social and environmental challenges
Matrix 2025 Startup Awards,Annual startup awards recognizing excellence in innovation and entrepreneurship across various categories. Celebrates outstanding startups and their contributions to technology and business innovation.,Startup Awards,"['startup awards', 'innovation', 'entrepreneurship', 'recognition', 'technology']",0,[],,"['Industry Recognition', 'Media Coverage', 'Networking', 'Business Opportunities']",Medium,www.matrixglobalsummit.in,Matrix Global Summit,3 months,any,Innovative startups across various technology and business sectors
ATOM Pre Incubation Program,"Pre-incubation program by IIIT Bangalore supporting early-stage startups and aspiring entrepreneurs. Provides mentorship, resources, and guidance to help transform ideas into viable business ventures.",Pre-incubation,"['pre-incubation', 'IIIT Bangalore', 'mentorship', 'early-stage', 'startup support']",0,[],,"['Mentorship', 'Resources', 'Incubation Support', 'Networking']",Medium,https://ic.iiitb.ac.in/atompi/,IIIT Bangalore,6 months,team,Early-stage entrepreneurs and startups seeking pre-incubation support and mentorship
NASSCOM Investor Connect Program,Program connecting startups with investors and venture capitalists. Facilitates funding opportunities and provides platform for startups to pitch to potential investors in the technology sector.,Investment,"['investment', 'nasscom', 'investor connect', 'funding', 'technology']",0,[],,"['Investor Access', 'Funding Opportunities', 'Industry Network', 'Pitch Platform']",Medium,https://lu.ma/iloeyeuc,NASSCOM,3-6 months,team,Technology startups seeking investment and connections with venture capitalists
Innopreneurs Startup Contest,Startup competition encouraging innovation and entrepreneurship across various sectors. Provides platform for entrepreneurs to showcase their ventures and compete for recognition and prizes.,Startup Competition,"['startup competition', 'innovation', 'entrepreneurship', 'multi-sector', 'recognition']",0,[],,"['Recognition', 'Prize Money', 'Mentorship', 'Industry Exposure']",Medium,https://www.innopreneurs.in/pre-entry-form,Innopreneurs,3-6 months,team,Entrepreneurs and startups across various sectors seeking recognition and competition platform
AMRUT 2.0,"Government of India's innovation challenge for water and sanitation solutions. Part of the Atal Mission for Rejuvenation and Urban Transformation, seeking innovative solutions for urban water management and sanitation challenges.",Water & Sanitation,"['water management', 'sanitation', 'urban development', 'government', 'innovation']",0,[],,"['Government Recognition', 'Implementation Opportunities', 'Policy Impact', 'Funding Support']",Medium,https://innovateindia.mygov.in/ipps-startup/,Government of India,6-12 months,any,Startups and innovators developing solutions for urban water and sanitation challenges
Investor Connect by Startup India,Government platform connecting startups with investors for funding opportunities. Facilitates introductions between verified startups and accredited investors to boost startup funding ecosystem in India.,Investment Platform,"['startup funding', 'investor connect', 'government platform', 'venture capital', 'india']",0,[],,"['Investor Introductions', 'Funding Access', 'Government Backing', 'Network Expansion']",Medium,https://investorconnect.startupindia.gov.in/for-startups/,"Startup India, Government of India",ongoing,team,Indian startups seeking funding and connections with accredited investors
Lilly Solution Accelerator Program,T-Hub accelerator program in partnership with Eli Lilly focusing on healthcare and life sciences innovations. Supports startups developing AI and technology solutions to drive healthcare advancements.,Healthcare Tech,"['healthcare', 'life sciences', 'AI', 'accelerator', 'pharmaceutical']",0,[],,"['Accelerator Program', 'Industry Mentorship', 'Pharma Partnership', 'Technology Access']",High,https://t-hub.co/programs/lilly/,T-Hub & Eli Lilly,6 months,team,Healthcare and life sciences startups developing AI and technology solutions
T-Angel Investment Readiness Program,"T-Hub program preparing startups for investment rounds. Provides training, mentorship, and investor connections to help startups become investment-ready and secure funding.",Investment Readiness,"['investment readiness', 'startup funding', 'mentorship', 'T-Hub', 'investor relations']",0,[],,"['Investment Training', 'Investor Access', 'Pitch Preparation', 'Funding Readiness']",Medium,https://programs.t-hub.co/t-angel-investment-readiness-program/,T-Hub,3-6 months,team,Startups preparing for investment rounds and seeking funding readiness training
BlitZ - 45 Day Sprint to Prototype,Intensive 45-day program by T-Hub helping entrepreneurs rapidly develop prototypes and validate their ideas. Fast-paced sprint format focusing on quick iteration and prototype development.,Rapid Prototyping,"['rapid prototyping', 'sprint', 'T-Hub', 'validation', 'fast-track']",0,[],,"['Rapid Development', 'Prototype Support', 'Validation', 'Mentorship']",Medium,https://programs.t-hub.co/blitz/,T-Hub,45 days,team,Early-stage entrepreneurs looking to rapidly develop and validate their prototypes
NRL Ideathon,Innovation challenge organized by Naval Research Laboratory focusing on defense and maritime technology solutions. Seeks innovative ideas addressing naval and defense challenges.,Defense Technology,"['defense', 'naval technology', 'maritime', 'research', 'innovation']",0,[],,"['Defense Partnerships', 'Research Collaboration', 'Technology Transfer', 'Government Contracts']",High,https://www.ideation.nrl.co.in,Naval Research Laboratory,6 months,team,Innovators and researchers developing solutions for defense and maritime applications
Startup World Cup by Fintech Festival India,Part of Fintech Festival India featuring global startup competition with focus on fintech innovations. Regional competition leading to global Startup World Cup finals.,Fintech,"['fintech', 'startup competition', 'global', 'financial technology', 'india']",0,[],,"['Global Competition', 'Fintech Focus', 'Investor Access', 'International Exposure']",High,https://www.fintechfestivalindia.com/startup-world-cup,Fintech Festival India,6 months,team,Fintech startups and financial technology innovators seeking global competition platform
Aggnite,Agricultural innovation challenge by ICAR promoting technology solutions for agriculture sector. Focuses on innovative agricultural technologies and solutions to address farming challenges.,AgriTech,"['agriculture', 'agritech', 'ICAR', 'farming', 'innovation']",0,[],,"['Agricultural Research', 'ICAR Support', 'Farming Network', 'Technology Implementation']",Medium,https://icar.org.in/node/580,Indian Council of Agricultural Research (ICAR),6 months,any,AgriTech startups and innovators developing solutions for agricultural challenges
Nidhi-Prayas,Government support program for technology business incubators and startups. Provides funding and support for proof of concept development and early-stage technology ventures.,Technology Incubation,"['technology incubation', 'government support', 'proof of concept', 'early-stage', 'NIDHI']",1000000,[],,"['PoC Funding', 'Incubation Support', 'Government Backing', 'Technology Development']",Medium,https://www.nidhi-prayas.org/,"Department of Science & Technology, Government of India",12-18 months,team,Technology startups and innovators seeking proof of concept funding and incubation support
Anthill Programs,"Venture capital and startup accelerator programs focusing on technology ventures. Provides funding, mentorship, and acceleration services to early-stage technology startups.",Venture Capital,"['venture capital', 'accelerator', 'technology', 'funding', 'mentorship']",0,[],,"['VC Funding', 'Acceleration', 'Mentorship', 'Technology Focus']",High,https://anthillventures.com,Anthill Ventures,6-12 months,team,Early-stage technology startups seeking venture capital funding and acceleration
The Purpose Academy,Social entrepreneurship education and incubation program focusing on purpose-driven ventures. Supports entrepreneurs building businesses with social and environmental impact.,Social Entrepreneurship,"['social entrepreneurship', 'purpose-driven', 'education', 'impact', 'sustainability']",0,[],,"['Impact Education', 'Social Network', 'Purpose Mentorship', 'Sustainability Focus']",Medium,https://thepurposeacademy.asia/,The Purpose Academy,6 months,any,Social entrepreneurs and impact-driven business builders across Asia
1M1B (1 Million for 1 Billion) Future Readiness Competition,Global initiative empowering youth to create solutions for the future. Focuses on preparing young leaders to address global challenges and create positive impact for 1 billion people.,Youth Leadership,"['youth empowerment', 'global impact', 'future readiness', 'leadership', '1M1B']",0,[],,"['Global Platform', 'Youth Network', 'Leadership Development', 'Impact Creation']",Medium,https://activate1m1b.org/index.html,1M1B Foundation,6-12 months,any,Young leaders and change-makers working on solutions for global challenges
National Youth Climate Consortium Fellowship,Fellowship program for young climate activists and innovators in India. Focuses on building climate leadership and supporting youth-led climate action initiatives.,Climate Action,"['climate action', 'youth fellowship', 'environmental', 'sustainability', 'india']",0,[],,"['Fellowship', 'Climate Network', 'Leadership Training', 'Action Support']",Medium,https://nyccindia.bringbackgreen.com/,Bring Back Green,12 months,any,Young climate activists and environmental innovators in India
Flipkart Tourism Challenge,Innovation challenge by Flipkart focusing on tourism and travel technology solutions. Part of Startup India initiatives seeking digital solutions for tourism sector.,Travel Tech,"['travel technology', 'tourism', 'flipkart', 'digital solutions', 'startup india']",0,[],,"['Corporate Partnership', 'Technology Platform', 'Market Access', 'Industry Exposure']",Medium,https://www.startupindia.gov.in/content/sih/en/ams-application/challenge.html?applicationId=67fc9fbae4b0e456e35a5869,Flipkart & Startup India,3-6 months,team,Travel tech startups and innovators developing solutions for tourism industry
Devfolio Hackathons,Platform hosting various hackathons and developer competitions across India. Connects developers with hackathon opportunities and provides tools for organizing tech competitions.,Developer Competition,"['hackathons', 'developers', 'coding', 'technology', 'competition platform']",0,[],,"['Developer Network', 'Skill Building', 'Tech Competitions', 'Community Access']",Medium,https://devfolio.co/,Devfolio,varies,any,"Developers, programmers, and tech enthusiasts participating in hackathons"
BlockDAG Hackathon 2025,Blockchain hackathon focusing on Directed Acyclic Graph (DAG) technology solutions. Challenges developers to build innovative applications using BlockDAG infrastructure.,Blockchain,"['blockchain', 'DAG', 'hackathon', 'cryptocurrency', 'distributed ledger']",0,[],,"['Blockchain Expertise', 'Technology Access', 'Developer Community', 'Innovation Platform']",High,https://www.hackerearth.com/challenges/hackathon/blockdag-hackathon-2025-scale-without-sacrifice/,BlockDAG,1-2 weeks,any,Blockchain developers and distributed ledger technology enthusiasts
CodeBot Hackathon 2025,AI and robotics hackathon by ARTPARK focusing on coding solutions for autonomous systems and robotics applications. Combines coding skills with robotics innovation.,AI & Robotics,"['AI', 'robotics', 'coding', 'autonomous systems', 'hackathon']",0,[],,"['AI Research', 'Robotics Platform', 'Technical Mentorship', 'Innovation Lab']",High,https://www.artpark.in/events/codebot-hackathon-2025,ARTPARK,2-3 days,team,"Developers and engineers working on AI, robotics, and autonomous systems"
Suprathon 2025,Social good hackathon encouraging developers to build solutions for social impact. Focuses on creating technology solutions that address societal challenges and community needs.,Social Tech,"['social impact', 'hackathon', 'community', 'social good', 'technology']",0,[],,"['Social Impact', 'Community Connection', 'Purpose-driven', 'Tech for Good']",Medium,https://suprathon-2025.devpost.com/,Devpost Community,2-3 days,any,Developers and technologists passionate about creating solutions for social good
Lyzr Hackathon,AI-focused hackathon by Lyzr challenging developers to build innovative AI applications and solutions. Focuses on practical AI implementations and real-world applications.,Artificial Intelligence,"['artificial intelligence', 'AI applications', 'hackathon', 'machine learning', 'innovation']",0,[],,"['AI Platform', 'Technical Resources', 'AI Community', 'Innovation Support']",High,https://www.hackerearth.com/challenges/hackathon/lyzr/,Lyzr,2-3 days,any,AI developers and machine learning enthusiasts building practical AI solutions
Bengaluru Tech Summit,"Annual technology summit in Bengaluru featuring startup showcases, tech competitions, and innovation exhibitions. Major platform for technology ecosystem in Karnataka.",Technology Summit,"['technology summit', 'bengaluru', 'startups', 'innovation', 'tech ecosystem']",0,[],,"['Tech Ecosystem', 'Industry Network', 'Government Support', 'Platform Access']",Medium,https://bengalurutechsummit.com/,Government of Karnataka,3-6 months,any,"Technology companies, startups, and innovators in Bengaluru and Karnataka"
CodeCrack Programming Competition,Programming competition organized by IEEE FISAT focusing on algorithmic problem solving and competitive programming skills. Part of TechX Quintessence technical fest.,Competitive Programming,"['competitive programming', 'algorithms', 'coding', 'IEEE', 'technical fest']",0,[],,"['Programming Skills', 'Technical Recognition', 'IEEE Network', 'Competitive Platform']",Medium,https://ieee.fisat.ac.in/TechXQuintessence/CodeCrack/,IEEE FISAT,1 day,any,Competitive programmers and computer science students
TechnoXian World Cup 9.0,"Global robotics and technology competition featuring various categories including robotics, AI, and innovation challenges. International platform for technology competitions.",Robotics & Technology,"['robotics', 'technology competition', 'global', 'AI', 'innovation']",0,[],,"['Global Platform', 'Technology Innovation', 'International Exposure', 'Technical Skills']",High,https://technoxian.com/innovation-contest,TechnoXian,6 months,team,"Robotics enthusiasts, technology innovators, and engineering students globally"